Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio, Payment History ,Number of Credit Accounts, Loan Amount ,Interest Rate,Loan Term,Type of Loan,Age Group
60,Male,Married,Master,Employed,0.22," 2,685 ",2,4675000,2.65,48,Personal Loan,sixties
25,Male,Married,High School,Unemployed,0.2," 2,371 ",9,3619000,5.19,60,Auto Loan,twenties
30,Female,Single,Master,Employed,0.22," 2,771 ",6,957000,2.76,12,Auto Loan,thirties
58,Female,Married,PhD,Unemployed,0.12," 1,371 ",2,4731000,6.57,60,Auto Loan,fifties
32,Male,Married,Bachelor,Self-Employed,0.99, 828 ,2,3289000,6.28,36,Personal Loan,thirties
42,Male,Divorced,Master,Unemployed,0.94," 2,342 ",2,1536000,11.15,24,Personal Loan,forties
44,Female,Divorced,Bachelor,Unemployed,0.32," 2,800 ",1,2021000,16.61,36,Auto Loan,forties
24,Male,Divorced,Master,Employed,0.66," 1,428 ",8,1298000,6.03,24,Home Loan,twenties
54,Female,Divorced,PhD,Unemployed,0.4, 800 ,3,4374000,10.38,12,Personal Loan,fifties
60,Male,Divorced,PhD,Unemployed,0.06," 1,371 ",10,4026000,11.05,60,Personal Loan,sixties
27,Female,Divorced,Master,Employed,0.29, 571 ,8,127000,19.12,36,Home Loan,twenties
52,Male,Divorced,Master,Unemployed,0.51, 714 ,3,3237000,15.49,60,Home Loan,fifties
58,Female,Single,High School,Employed,0.93," 1,114 ",4,586000,5.58,60,Personal Loan,fifties
51,Male,Divorced,Bachelor,Employed,0.66," 2,000 ",3,2323000,11.03,60,Auto Loan,fifties
54,Male,Divorced,Master,Self-Employed,1.0," 2,371 ",6,3775000,18.09,48,Personal Loan,fifties
34,Male,Single,High School,Unemployed,0.55," 2,142 ",4,160000,2.35,12,Personal Loan,thirties
22,Female,Married,Bachelor,Self-Employed,0.67, 771 ,9,1210000,14.74,60,Home Loan,twenties
35,Female,Single,Bachelor,Employed,0.1," 1,571 ",6,3653000,8.81,12,Home Loan,thirties
61,Male,Married,PhD,Unemployed,0.34, 371 ,4,1707000,4.61,48,Personal Loan,sixties
31,Female,Single,Bachelor,Employed,0.44," 2,000 ",2,524000,13.39,60,Personal Loan,thirties
35,Male,Single,PhD,Self-Employed,0.21," 1,457 ",1,1481000,8.2,48,Auto Loan,thirties
38,Female,Divorced,PhD,Employed,0.19, 771 ,1,4959000,14.98,12,Home Loan,thirties
23,Male,Divorced,PhD,Unemployed,0.92," 1,914 ",3,577000,19.25,12,Personal Loan,twenties
58,Male,Divorced,Bachelor,Self-Employed,0.12," 2,057 ",4,4956000,12.3,60,Personal Loan,fifties
62,Female,Single,Bachelor,Unemployed,0.72, 857 ,5,3420000,3.49,36,Auto Loan,sixties
24,Male,Single,High School,Employed,0.54," 1,828 ",5,1211000,18.73,12,Personal Loan,twenties
38,Male,Single,Master,Unemployed,0.98," 2,371 ",9,166000,13.69,60,Auto Loan,thirties
26,Male,Single,High School,Employed,0.74, 542 ,5,2464000,12.49,36,Personal Loan,twenties
60,Female,Divorced,PhD,Self-Employed,0.91, 171 ,2,3653000,16.76,12,Personal Loan,sixties
28,Female,Married,PhD,Unemployed,0.71," 2,028 ",1,1038000,2.43,24,Home Loan,twenties
43,Male,Single,Bachelor,Employed,0.31, 142 ,6,1862000,13.96,12,Auto Loan,forties
46,Male,Married,Bachelor,Employed,0.88, 85 ,3,2887000,15.87,48,Home Loan,forties
35,Female,Married,High School,Self-Employed,0.87," 1,714 ",4,1774000,16.52,48,Auto Loan,thirties
34,Male,Married,Bachelor,Self-Employed,0.33, 228 ,5,3046000,13.19,48,Home Loan,thirties
41,Male,Married,Master,Employed,0.58, 942 ,1,1009000,12.33,36,Home Loan,forties
47,Male,Single,Bachelor,Self-Employed,0.04," 1,571 ",1,4461000,18.59,60,Home Loan,forties
62,Male,Single,PhD,Employed,0.95," 1,200 ",10,2733000,13.6,12,Home Loan,sixties
52,Female,Divorced,PhD,Self-Employed,0.4," 1,057 ",9,1168000,4.64,48,Home Loan,fifties
31,Female,Single,High School,Self-Employed,0.29," 1,571 ",10,2803000,9.83,48,Home Loan,thirties
52,Female,Divorced,Bachelor,Unemployed,0.08," 1,857 ",10,2912000,2.77,24,Home Loan,fifties
34,Male,Married,High School,Employed,0.24," 1,714 ",10,711000,9.65,60,Personal Loan,thirties
64,Female,Single,PhD,Employed,0.15," 2,514 ",1,994000,15.79,24,Personal Loan,sixties
53,Female,Married,Bachelor,Employed,0.46," 1,685 ",9,4789000,12.31,48,Home Loan,fifties
52,Female,Divorced,PhD,Employed,0.74," 1,714 ",8,2274000,15.28,36,Home Loan,fifties
60,Male,Single,PhD,Employed,0.71, 857 ,5,2917000,7.07,60,Personal Loan,sixties
29,Male,Single,Bachelor,Unemployed,0.21," 1,514 ",7,2876000,11.31,48,Personal Loan,twenties
46,Female,Divorced,High School,Unemployed,0.38, -   ,6,2605000,15.32,48,Home Loan,forties
54,Male,Single,Bachelor,Self-Employed,0.44, 85 ,7,2920000,13.71,48,Home Loan,fifties
49,Male,Divorced,High School,Self-Employed,0.59," 2,400 ",1,804000,13.21,24,Auto Loan,forties
23,Female,Single,Master,Employed,0.45," 1,228 ",7,2434000,15.29,48,Auto Loan,twenties
